source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,b,l
4538759604048788480,280.69311019460224,0.01594274227091017,27.57275267246424,0.021867444015212446,1.881042409255928,0.025293859482401475,11.425508,0.42896748,-51.04791924756475,1.5634575889268025,NOT_AVAILABLE,7505.0,0.2512,13.93877732594828,57.055664207139586
5531790887956083456,116.02498591483965,0.027843552259257533,-44.740713638585284,0.030995853353214666,0.2049918325496468,0.03237604472542175,15.724146,0.5317583,,,NOT_AVAILABLE,7505.0,,-10.194106825078796,258.2860048685663
5647057502264291968,129.41910143136445,0.02014995175769667,-26.508173975598126,0.022605662638629627,0.2461043157620212,0.03482516229316179,15.423559,0.5315218,,,NOT_AVAILABLE,7505.0,1.001,8.77688092292749,248.84392827859364
4601114939978698880,265.6410825461336,0.01306257680806296,32.40564781446485,0.015654844824867842,0.4584690670446777,0.018196007270226203,14.514019,0.5318413,,,NOT_AVAILABLE,7505.0,0.918,27.826144306516294,57.165463297068065
5256692769476332160,150.6661836198642,0.023759682684394576,-60.18918615830749,0.024708231818259086,0.8405075907745312,0.02745681716516207,12.554309,0.40289497,,,NOT_AVAILABLE,7505.0,0.7593,-3.890099997709558,283.3797140608753
3017921339617980928,89.77403646479074,0.046050560463817496,-7.676681067610865,0.059437492111437895,1.7061221646217908,0.058730993179587763,11.311258,0.40127087,,,NOT_AVAILABLE,7505.0,,-15.10581306610364,213.915688995711
5378643108779787520,175.89999454292857,0.025284987222001235,-45.06291837920747,0.018024067600270786,1.2008616369193523,0.03470281630924906,12.019108,0.40437317,-3.162025086318397,7.508867103769291,NOT_AVAILABLE,7505.0,0.5188,16.170935752003505,290.54451213366184
6054935599915597696,186.33424192122172,0.22452621874040662,-61.504642823408744,0.21440813854126706,0.15582579507060923,0.27118494277012317,11.045622,0.3973894,,,NOT_AVAILABLE,7505.0,0.9423,1.2094684785044323,299.82331833160407
135468701651062016,44.112107171833536,0.06859758719006465,31.228846184913692,0.0537014744527339,0.8953835817718813,0.07741474293184666,10.877586,0.3990574,,,NOT_AVAILABLE,7505.0,,-24.46823926275183,152.10255924656389
2032564414985038080,293.23644214126386,0.021504712889966554,29.89062579604155,0.025248913841069698,0.31228156817888675,0.03068737425593353,15.228272,0.5315199,,,NOT_AVAILABLE,7505.0,,5.063178876267726,64.04616453577336
5551189331082711296,98.66057838838918,0.05308248751820692,-49.01804664236282,0.05152224167946556,1.4569202940376909,0.057033680733341405,11.551753,0.45966434,0.5165647020446229,8.389686526758842,NOT_AVAILABLE,7505.0,,-22.765817754763436,257.7522039937229
5256311582544856704,152.17146717694868,0.02160111000289367,-61.17418808441558,0.02411297216426485,0.3306253734839042,0.026174683693369432,14.733778,0.43003654,,,NOT_AVAILABLE,7505.0,,-4.249733004472104,284.5591315440574
5547173330515285120,125.08289195092317,0.02690560964789064,-32.630097049127144,0.03728615113600758,0.1671680492773484,0.04258092867220692,15.952132,0.46643925,,,NOT_AVAILABLE,7505.0,1.066,2.1554316769742283,251.65654184761536
3035029435611500288,112.99752341165758,0.03324750139785862,-11.037105332149842,0.024091897930887354,1.2803150952971614,0.045713604697194286,11.77982,0.4027958,,,NOT_AVAILABLE,7505.0,,3.8108457266462197,227.3924774421891
5696170178409069568,125.45958168515133,0.04370816618373983,-24.47623323618541,0.04820725188753666,1.077277367482764,0.08264429417918696,10.487523,0.37745762,,,NOT_AVAILABLE,7505.25,,7.028454107872925,245.08756115877378
